id,w2_brokeup,w1_age,w1_p_page,w1_attraction,w1_q21a_year,w1_p_edu,w1_p_polparty,w1_same_hs,w1_same_college,w1_partnership_status_cohab,w1_rel_qual,w1_sex_frequency,w1_otherdate_all,w1_same_sex_couple_gender,w1_married,w1_cohab,w1_hh_income,w1_employed,w1_polparty,w1_relig_attend,w1_times_marrid,w1_p_race,w1_how_met,w1_earned_more,w1_p_gender,w1_gender,w1_q24_met_through_family,w1_q24_met_through_friend,w1_q24_met_through_as_nghbrs,w2_nonshelter,w2_shelter_combo_months,w2_myhealth,w2_myhealth_why_1,w2_parthealth,w2_parthealth_why_1,w1_yrsed,w1_p_yrsed
267,0,46,45,1,2001,12,7,2,2,1,1,3,1,0,1,1,15,1,7,6,1,2,1,1,2,1,0,0,0,NA,6,2,NA,2,NA,16,16
268,0,32,28,1,2008,8,1,2,NA,2,1,3,1,0,0,1,3,4,5,6,1,3,1,4,1,2,1,0,1,3,0,2,NA,2,NA,12,12
269,0,34,33,2,2001,10,5,2,1,1,2,3,1,0,1,1,12,1,6,5,1,1,1,2,1,2,0,0,0,NA,3,2,NA,1,0,16,13
270,0,85,84,1,1946,9,3,2,NA,1,1,5,1,0,1,1,10,5,3,2,1,2,1,4,2,1,1,0,1,2,0,2,NA,2,NA,12,12
271,0,28,30,2,2016,14,4,2,2,3,1,2,1,0,0,2,9,1,6,6,0,0,1,3,1,2,0,1,0,NA,4,2,NA,2,NA,17,20
272,0,70,69,1,1982,11,7,2,2,1,1,5,1,0,1,1,13,5,6,6,2,0,1,3,2,1,0,0,0,NA,5,1,0,1,0,16,14
273,0,67,63,1,2000,12,4,2,2,4,NA,NA,1,0,0,NA,13,1,7,4,0,0,1,2,1,2,0,0,0,NA,6,2,NA,NA,NA,20,16
274,0,27,29,2,2015,12,5,2,2,1,1,4,1,0,1,1,13,1,7,6,1,0,8,3,1,2,0,0,0,NA,2,2,NA,2,NA,17,16
275,0,73,50,1,1996,12,4,2,2,1,1,5,1,0,1,1,16,5,5,2,3,0,1,1,2,1,1,0,0,3,0,2,NA,2,NA,17,16
276,0,69,71,1,1968,11,7,2,NA,1,1,5,1,0,1,1,19,5,7,5,1,6,1,3,1,2,1,0,0,NA,6,2,NA,2,NA,12,14
277,0,76,72,1,1964,12,7,2,1,1,1,5,1,0,1,1,15,5,7,2,1,6,1,1,2,1,0,0,0,NA,6,2,NA,2,NA,13,16
278,0,65,68,2,1972,9,7,2,NA,4,NA,NA,1,0,0,NA,11,1,7,6,1,0,1,3,1,2,0,0,0,3,0,2,NA,NA,NA,14,12
